chain,contract,label,token,date,quantity
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-30,2331691.28137
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-01-31,2330842.674436
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-01,2330044.332243
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-02,2331147.389333
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-03,2332240.789268
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-04,2331597.286967
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-05,2272872.791546
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-06,2273949.015013
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-07,2273633.612002
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-08,2274148.402902
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-09,2274551.173901
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-10,2274450.995586
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-11,2273067.050374
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-12,2285643.343632
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-13,2286087.438849
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-14,2286154.104849
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-15,2286578.199798
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-16,2282062.350926
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-17,2246676.561777
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-18,2245838.110227
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-19,2246402.853441
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-20,2246402.598421
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-21,2246886.945105
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-22,2246958.492299
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-23,2247439.622759
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-24,2247464.791871
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-25,2247935.036703
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-26,2247948.47187
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-27,2248303.488418
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-02-28,2248375.896038
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-01,2249045.716106
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-02,1895056.030692
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-03,1738924.956256
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-04,1736325.675824
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-05,1740226.963283
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-06,1740343.495296
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-07,1751227.177646
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-08,1751254.238908
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-09,1751564.598528
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-10,1750114.043373
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-11,1750296.839147
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-12,1727884.535129
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-13,1773870.309596
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-14,1775847.287608
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-15,1776611.383108
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-16,1776316.534346
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-17,1776961.68706
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-18,1783893.677081
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-19,1790872.447533
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-20,1763226.138668
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-21,1762842.171735
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-22,1760472.52197
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-23,1758306.564689
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-24,1765892.059113
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-25,1766727.605039
Base,0xb13cf163d916917d9cd6e836905ca5f12a1def4b,USDC,USDC,2026-03-26,1766643.597313
