contract,pool,token,address,type,chain,checkpoint,date,quantity
0xcf50dea65ee80ebddaa61005a960ef5a5c995a99,USDC/WBTC CL100,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,end,2026-08-31,1.9096771
0x84ce89b4f6f67e523a81a82f9f2f14d84b726f6b,USDC/USDT CL1,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,start,2026-02-10,81070.87579
0x84ce89b4f6f67e523a81a82f9f2f14d84b726f6b,USDC/USDT CL1,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,pool,OP Mainnet,start,2026-02-10,91758.118945
0x84ce89b4f6f67e523a81a82f9f2f14d84b726f6b,USDC/USDT CL1,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,snapshot,2026-03-30,86221.968024
0x84ce89b4f6f67e523a81a82f9f2f14d84b726f6b,USDC/USDT CL1,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,pool,OP Mainnet,snapshot,2026-03-30,268499.559809
0x84ce89b4f6f67e523a81a82f9f2f14d84b726f6b,USDC/USDT CL1,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,end,2026-08-31,186210.983321
0x84ce89b4f6f67e523a81a82f9f2f14d84b726f6b,USDC/USDT CL1,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,pool,OP Mainnet,end,2026-08-31,22637.458961
0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9,USDT0/USDC CL1,USDT0,0x01bff41798a0bcf287b996046ca68b395dbc1071,pool,OP Mainnet,start,2026-02-10,220285.060843
0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9,USDT0/USDC CL1,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,start,2026-02-10,33301.913333
0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9,USDT0/USDC CL1,USDT0,0x01bff41798a0bcf287b996046ca68b395dbc1071,pool,OP Mainnet,snapshot,2026-03-30,70334.949317
0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9,USDT0/USDC CL1,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,snapshot,2026-03-30,45137.10657
0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9,USDT0/USDC CL1,USDT0,0x01bff41798a0bcf287b996046ca68b395dbc1071,pool,OP Mainnet,end,2026-08-31,201242.990409
0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9,USDT0/USDC CL1,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,end,2026-08-31,333581.039382
0xbf30ff33cf9c6b0c48702ff17891293b002dfea4,wstETH/WETH CL1,WSTETH,0x1f32b1c2345538c0c6f582fcb022739c4a194ebb,pool,OP Mainnet,start,2026-02-10,424.37836356746095
0xbf30ff33cf9c6b0c48702ff17891293b002dfea4,wstETH/WETH CL1,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,start,2026-02-10,158.82921358603062
0xbf30ff33cf9c6b0c48702ff17891293b002dfea4,wstETH/WETH CL1,WSTETH,0x1f32b1c2345538c0c6f582fcb022739c4a194ebb,pool,OP Mainnet,snapshot,2026-03-30,390.98866088772024
0xbf30ff33cf9c6b0c48702ff17891293b002dfea4,wstETH/WETH CL1,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,snapshot,2026-03-30,317.31878021596714
0xbf30ff33cf9c6b0c48702ff17891293b002dfea4,wstETH/WETH CL1,WSTETH,0x1f32b1c2345538c0c6f582fcb022739c4a194ebb,pool,OP Mainnet,end,2026-08-31,75.85963355264919
0xbf30ff33cf9c6b0c48702ff17891293b002dfea4,wstETH/WETH CL1,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,end,2026-08-31,64.40704715828306
0x8949a8e02998d76d7a703cac9ee7e0f529828011,WBTC/tBTC CL1,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,start,2026-02-10,0.35432704
0x8949a8e02998d76d7a703cac9ee7e0f529828011,WBTC/tBTC CL1,TBTC,0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40,pool,OP Mainnet,start,2026-02-10,0.5623873759614606
0x8949a8e02998d76d7a703cac9ee7e0f529828011,WBTC/tBTC CL1,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,snapshot,2026-03-30,0.88759781
0x8949a8e02998d76d7a703cac9ee7e0f529828011,WBTC/tBTC CL1,TBTC,0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40,pool,OP Mainnet,snapshot,2026-03-30,0.49176104957451705
0x8949a8e02998d76d7a703cac9ee7e0f529828011,WBTC/tBTC CL1,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,end,2026-08-31,0.68964288
0x8949a8e02998d76d7a703cac9ee7e0f529828011,WBTC/tBTC CL1,TBTC,0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40,pool,OP Mainnet,end,2026-08-31,1.003782253356544
0x4da46c6afe7322b66efefda1f702605cbe08e0bd,USDT0/USDT CL1,USDT0,0x01bff41798a0bcf287b996046ca68b395dbc1071,pool,OP Mainnet,start,2026-02-10,19266.048705
0x4da46c6afe7322b66efefda1f702605cbe08e0bd,USDT0/USDT CL1,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,pool,OP Mainnet,start,2026-02-10,35418.388035
0x4da46c6afe7322b66efefda1f702605cbe08e0bd,USDT0/USDT CL1,USDT0,0x01bff41798a0bcf287b996046ca68b395dbc1071,pool,OP Mainnet,snapshot,2026-03-30,36923.307084
0x4da46c6afe7322b66efefda1f702605cbe08e0bd,USDT0/USDT CL1,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,pool,OP Mainnet,snapshot,2026-03-30,13430.273093
0x4da46c6afe7322b66efefda1f702605cbe08e0bd,USDT0/USDT CL1,USDT0,0x01bff41798a0bcf287b996046ca68b395dbc1071,pool,OP Mainnet,end,2026-08-31,821047.197327
0x4da46c6afe7322b66efefda1f702605cbe08e0bd,USDT0/USDT CL1,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,pool,OP Mainnet,end,2026-08-31,2827300.217944
0x2fa71491f8070fa644d97b4782db5734854c0f6f,USDC/USDC CL1,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,pool,OP Mainnet,start,2026-02-10,63121.164626
0x2fa71491f8070fa644d97b4782db5734854c0f6f,USDC/USDC CL1,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,pool,OP Mainnet,snapshot,2026-03-30,61088.349961
0x2fa71491f8070fa644d97b4782db5734854c0f6f,USDC/USDC CL1,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,pool,OP Mainnet,end,2026-08-31,60928.08
0x2cbbcbec0c49d2ae2516bd71ab70e561746a7bf7,WETH/weETH CL1,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,start,2026-02-10,0.000833397737073077
0x2cbbcbec0c49d2ae2516bd71ab70e561746a7bf7,WETH/weETH CL1,WEETH,0x5a7facb970d094b6c7ff1df0ea68d99e6e73cbff,pool,OP Mainnet,start,2026-02-10,0.000489209869739361
0x2cbbcbec0c49d2ae2516bd71ab70e561746a7bf7,WETH/weETH CL1,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,snapshot,2026-03-30,0.000833397737073077
0x2cbbcbec0c49d2ae2516bd71ab70e561746a7bf7,WETH/weETH CL1,WEETH,0x5a7facb970d094b6c7ff1df0ea68d99e6e73cbff,pool,OP Mainnet,snapshot,2026-03-30,0.000489209869739361
0x2cbbcbec0c49d2ae2516bd71ab70e561746a7bf7,WETH/weETH CL1,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,end,2026-08-31,0.01309369667621368
0x2cbbcbec0c49d2ae2516bd71ab70e561746a7bf7,WETH/weETH CL1,WEETH,0x5a7facb970d094b6c7ff1df0ea68d99e6e73cbff,pool,OP Mainnet,end,2026-08-31,0.010844401765374208
0x95a0dec1e4fe633aea5ad725375071a3a9f24501,WETH/USDT0 CL100,WETH,0x4200000000000000000000000000000000000006,pool,Unichain,start,2026-02-10,7.513498057560487
0x95a0dec1e4fe633aea5ad725375071a3a9f24501,WETH/USDT0 CL100,USDT0,0x9151434b16b9763660705744891fa906f660ecc5,pool,Unichain,start,2026-02-10,2387.410387
0x95a0dec1e4fe633aea5ad725375071a3a9f24501,WETH/USDT0 CL100,WETH,0x4200000000000000000000000000000000000006,pool,Unichain,snapshot,2026-03-30,6.3048193341493235
0x95a0dec1e4fe633aea5ad725375071a3a9f24501,WETH/USDT0 CL100,USDT0,0x9151434b16b9763660705744891fa906f660ecc5,pool,Unichain,snapshot,2026-03-30,10460.345222
0x95a0dec1e4fe633aea5ad725375071a3a9f24501,WETH/USDT0 CL100,WETH,0x4200000000000000000000000000000000000006,pool,Unichain,end,2026-08-31,5.683436092957353
0x95a0dec1e4fe633aea5ad725375071a3a9f24501,WETH/USDT0 CL100,USDT0,0x9151434b16b9763660705744891fa906f660ecc5,pool,Unichain,end,2026-08-31,5691.849838
0x31bafd5d04580f71a808ae646bb787d38e9362f9,USDC/USDT0 CL1,USDC,0x078d782b760474a361dda0af3839290b0ef57ad6,pool,Unichain,start,2026-02-10,93865.206673
0x31bafd5d04580f71a808ae646bb787d38e9362f9,USDC/USDT0 CL1,USDT0,0x9151434b16b9763660705744891fa906f660ecc5,pool,Unichain,start,2026-02-10,22383.412902
0x31bafd5d04580f71a808ae646bb787d38e9362f9,USDC/USDT0 CL1,USDC,0x078d782b760474a361dda0af3839290b0ef57ad6,pool,Unichain,snapshot,2026-03-30,10463.810039
0x31bafd5d04580f71a808ae646bb787d38e9362f9,USDC/USDT0 CL1,USDT0,0x9151434b16b9763660705744891fa906f660ecc5,pool,Unichain,snapshot,2026-03-30,83325.612865
0x31bafd5d04580f71a808ae646bb787d38e9362f9,USDC/USDT0 CL1,USDC,0x078d782b760474a361dda0af3839290b0ef57ad6,pool,Unichain,end,2026-08-31,38388.137271
0x31bafd5d04580f71a808ae646bb787d38e9362f9,USDC/USDT0 CL1,USDT0,0x9151434b16b9763660705744891fa906f660ecc5,pool,Unichain,end,2026-08-31,38525.904662
0x5438e884c621d5db08fa605b53ca04c5b33a623a,USDC/WETH CL100,USDC,0x078d782b760474a361dda0af3839290b0ef57ad6,pool,Unichain,start,2026-02-10,6992.841078
0x5438e884c621d5db08fa605b53ca04c5b33a623a,USDC/WETH CL100,WETH,0x4200000000000000000000000000000000000006,pool,Unichain,start,2026-02-10,153.49122497920897
